question_no	pdf_page	source_label	preview
35	38	i. i. ii. i. vi.vii)2019 数二	i. i. ii. i. vi.vii)2019 数二 9. limx→0 x+2 x   2 x = _____
36	39	i.i.ii.i.vi.viii)2019 数三	i.i.ii.i.vi.viii)2019 数三 limn→∞ 1 1⋅2 + 1 2⋅3 +⋯+ 1
37	40	i.i.ii.i.vi.ix)2022 数二三	i.i.ii.i.vi.ix)2022 数二三 limx→0 1+e x  2  cotx = ______. 大观严选题 —— 澄潇宇 第 37 页，共 767 页
38	41	i. i. ii. i.vii. i)2000 数一	(1.1.2.1.7) 含 e 或绝对值的极限 i. i. ii. i.vii. i)2000 数一 求 limx→0 2+e 1 x 1+e 4
39	42	(a.a.b.a.h.a.a)1994 数三	(1.1.2.1.8) 利用导数定义求极限 i. i.ii.i.viii.i) 除式 (a.a.b.a.h.a.a)1994 数三 已知 f  x 0 =-1, 则 limx→0 x f x 0-2x - f x 0-x  = _____. 大观严选题 —— 澄潇宇 第 39 页，共 767 页
40	43	(a.a.b.a.h.a.b)2011 数二三	(a.a.b.a.h.a.b)2011 数二三 (2) 设函数 f x 在 x = 0 处可导, 且 f 0 = 0, 则 limx→0 x 2 f x -2f x 3  
41	44	(a.a.b.a.h.b.a)2013 数一	i. i. ii. i. viii. ii) 乘式 (a.a.b.a.h.b.a)2013 数一 设函数 f x 由方程 y - x = e x1-y 确定, 则 limn→∞ n f 1 n
42	45	(a.a.b.a.h.b.b)2013 数三	(a.a.b.a.h.b.b)2013 数三 设曲线 y = f x 与 y = x 2- x 在点 1,0 处有公共切线, 则 limn→∞ nf n n+2  = 大观严选题 —— 澄潇宇
43	46	(a.a.b.a.h.b.c)2024 数二	(a.a.b.a.h.b.c)2024 数二 2.已知 x=1+t3 y=e t 
44	47	(a.a.b.a.i.a.a)2002 数三;880 第三章基础填空 9	(1.1.2.1.9) 含变限积分的极限 i. i. ii. i. i.x. i)x 趋于 0 (a.a.b.a.i.a.a)2002 数三;880 第三章基础填空 9 求极限 limx→0 x0 u
45	48	(a.a.b.a.i.a.b)2017 数二三	(a.a.b.a.i.a.b)2017 数二三 求极限 lim x→0+ x0 x-t  e tdt x
46	49	(a.a.b.a.i.a.c)2016 数一	(a.a.b.a.i.a.c)2016 数一 limx→0 x0 t  ln1+tsint dt 1-cosx
47	50	(a.a.b.a.i.a.d)2021 数一二	(a.a.b.a.i.a.d)2021 数一二 求极限 limx→0 1+ x0 e t2  dt e
48	51	(a.a.b.a.i.b.a)2000 数二	i. i. ii. i. i. ix. ii)x 趋于 ∞ (a.a.b.a.i.b.a)2000 数二 设函数 Sx = x0 cost  dt. (1) 当 n 为正整数, 且 nπ ≤ x < n+1 π 时, 证明:2n ≤ Sx < 2n+1  (2) 求 limx→+∞
49	52	(a.a.b.a.i.b.b)2014 数一二三	(a.a.b.a.i.b.b)2014 数一二三 求极限 limx→+∞ x1 t2 e 1  t -1 -t
50	53	i. i. ii. i. x. i)1991 数三	(1.1.2.1.10) 其他 i. i. ii. i. x. i)1991 数三 (1) 下列各式中正确的是 ( ) A. lim x→0+ 1+ 1
51	54	i.i.ii.i.x.ii)2000 数三	i.i.ii.i.x.ii)2000 数三 (1) 设对任意的 x，总有 φx ≤ f x ≤ gx ，且 limx→∞ gx -φx = 0，则 limx→∞ f x ( ) A. 存在且等于零 B. 存在但不一定为零 C. 一定不存在 D. 不一定存在
52	55	i. i. ii. i. x. iii)2006 数三	i. i. ii. i. x. iii)2006 数三 limn→∞ n+1 n   -1 n = _____. 大观严选题 —— 澄潇宇
53	56	(a.a.b.b.a.a.a)2003 数二;880 综合填空 5	a.a.b.b) 数列极限 (1.1.2.2.1 数列极限计算 i.i.ii.ii.i.i) 数列以含 n 积分形式给出求极限 (a.a.b.b.a.a.a)2003 数二;880 综合填空 5 设 an = 3 2
54	57	(a.a.b.b.a.a.b)2009 数二	(a.a.b.b.a.a.b)2009 数二 limn→∞ 1 0 e-x  sinnxdx = _____. 大观严选题 —— 澄潇宇 第 54 页，共 767 页
55	58	(a.a.b.b.a.b.a)1998 数一	i. i. ii. ii. ii. ii) 定积分定义求 n 项和极限 (a.a.b.b.a.b.a)1998 数一 求 limn→∞ sin π n n+1 + sin 2π
56	59	(a.a.b.b.a.b.b) 同济大学 2011;2012 数二	(a.a.b.b.a.b.b) 同济大学 2011;2012 数二 limn→∞ n 1 1+n 2 +
57	60	(a.a.b.b.a.b.c)2017 数一二三	(a.a.b.b.a.b.c)2017 数一二三 求 limn→∞ n k=1 k n
58	61	(a.a.b.b.a.b.d)2021 数一二	(a.a.b.b.a.b.d)2021 数一二 (4) 设函数 f x 在区间 0,1 上连续，则 1 0 f  x dx = ( ). A. limn→∞ n
59	62	(a.a.b.b.a.b.e)2025 数二	(a.a.b.b.a.b.e)2025 数二 limn→∞ 1 n 2 ln 1
60	63	(a.a.b.b.a.c.a)2010 数一	i. i. ii. ii. ii. iii) 二重积分定义求 n 项和极限 (a.a.b.b.a.c.a)2010 数一 (4)limn→∞ n i=1 n
61	64	(a.a.b.b.a.c.b)2026 数二	(a.a.b.b.a.c.b)2026 数二 7. f x,y 在区域 D =  x,y ∣0≤x≤1,0≤y≤1 上连续, 且 f x,y = f  y,x , 则 D f  x,y dxdy = ( ) A. 2limn→∞ n i=1
62	65	i. i. ii. ii. ii. ii. i)2012 数二	(1.1.2.2.2) 概念题 i. i. ii. ii. ii. ii. i)2012 数二 (3) 设 an > 0n=1,2,⋯ ， Sn = a1+ a2+⋯+an，则数列 Sn 有界是数列 an 收敛的 ( ) A. 充分必要条件. B. 充分非必要条件. C. 必要非充分条件. D. 既非充分也非必要条件. 大观严选题 —— 澄潇宇 第 62 页，共 767 页
63	66	i. i. ii. ii. ii. ii. ii)2014 数三	i. i. ii. ii. ii. ii. ii)2014 数三 (1)limn→∞ an = a，且 a ≠ 0，则当 n 充分大时有 ( ) A. an > a 2
64	67	i. i. ii. ii. ii. iii. iii)2015 数三;880 基础解答 4	i. i. ii. ii. ii. iii. iii)2015 数三;880 基础解答 4 (1) 设 xn 是数列.下列命题中不正确的是 ( ) A. 若 limn→∞ xn = a, 则 limn→∞ x2n = limn→∞ x2n+1 = a. B. 若 limn→∞
65	68	i.i.ii.ii.ii.i)2007 数一二	(1.1.2.2.3) 数列收敛发散问题 i.i.ii.ii.ii.i)2007 数一二 (5) 设函数 f x 在 0,+∞ 内具有二阶导数，且 f  x > 0，令 un = f n n=1,2,⋯ ，则下列结论 正确的是 ( ) A. 若 u1 > u2
66	69	i.i.ii.ii.iii.ii)2008 数一二	i.i.ii.ii.iii.ii)2008 数一二 (4) 设函数 f x 在 -∞,+∞ 内单调有界， xn 为数列，下列命题正确的是 ( ) A. 若 xn 收敛，则  f xn  收敛. B. 若 xn 单调, 则  f xn  收敛. C. 若  f xn  收敛, 则 xn 收敛. D. 若  f xn  单调, 则 xn 收敛. 大观严选题 —— 澄潇宇 第 66 
67	70	i.i.ii.ii. iii.iii)2017 数二	i.i.ii.ii. iii.iii)2017 数二 (3) 设数列 xn 收敛，则 ( ) A. 当 limn→∞ sinxn = 0 时, limn→∞ xn = 0. B. 当 limn→∞ xn+ xn = 0 时, limn→∞ xn = 0. C. 当 limn→∞
68	71	i. i. ii. ii. ii. iv)2022 数一二	i. i. ii. ii. ii. iv)2022 数一二 (6) 设数列 xn 满足 - π 2 ≤ xn ≤ π 2 ，则 ( )
69	72	i.i.ii.ii.ii. vi)2024 数二	i.i.ii.ii.ii. vi)2024 数二 4.已知数列 an an≠0 , 若 an 发散，则 ( ). A. an+ 1 an   
70	73	i. i. ii. ii. iv. i)2022 数三	(1.1.2.2.4) 数列极限最值 i. i. ii. ii. iv. i)2022 数三 (2) 已知 an = n n - -1 n n n=1,2,⋯ ，则 an ( ) A. 有最大值,有最小值. B. 有最大值, 没有最小值. C. 没有最大值, 有最小值. D. 没有最大值, 没有最小值. 大观严选题 —— 澄潇宇
71	74	i. i. ii. ii. vi. i)2023 数二;26 版 1000 第二章强化 6	(1.1.2.2.5) 数列无穷小比阶 i. i. ii. ii. vi. i)2023 数二;26 版 1000 第二章强化 6 3.已知 xn , yn 满足:x1 = y1 = 1 2 ,xn+1 = sinxn,yn+1 = y
72	75	i. i. ii. ii. vi. i)1996 数一	(1.1.2.2.6) 单调有界 i. i. ii. ii. vi. i)1996 数一 设 x1 = 10,xn+1 = 6+xn n=1,2,⋯ , 试证数列 xn 极限存在, 并求此极限. 大观严选题 —— 澄潇宇 第 72 页，共 767 页
73	76	i. i. ii. ii. vi. ii)1999 数二;880 第三章综合解答 54	i. i. ii. ii. vi. ii)1999 数二;880 第三章综合解答 54 设 f x 是区间 [0, +∞) 上单调减少且非负的连续函数, an = n k=1  f k - n
74	77	i. i. ii. ii. vi.iii)2002 数二	i. i. ii. ii. vi.iii)2002 数二 设 0 < x1 < 3,xn+1 = xn3-xn n=1,2,⋯ , 证明数列 xn 的极限存在, 并求此极限. 大观严选题 —— 澄潇宇 第 74 页，共 767 页
75	78	i. i. ii. ii. vi.iv)2006 数一二;880 第一章综合解答 14	i. i. ii. ii. vi.iv)2006 数一二;880 第一章综合解答 14 【14】设 0 < x1 < π,xn+1 = sinxn. (I) 证明:limn→∞ xn存在, 并求值; (II) 求 limn→∞ xn+1  xn  1
76	79	i. i. ii. ii. vi. v)2011 数一二;880 综合解答 15	i. i. ii. ii. vi. v)2011 数一二;880 综合解答 15 (I) 证明对任意的正整数 n, 都有 1 n+1 < ln 1+ 1 n  <
77	80	i. i. ii. ii. vi.vi)2013 数二	i. i. ii. ii. vi.vi)2013 数二 设函数 f x = lnx + 1 x . (I) 求 f x 的最小值; (II) 设数列 xn 满足 lnxn+
78	81	i. i. ii. ii. vi.vii)2018 数一二三	i. i. ii. ii. vi.vii)2018 数一二三 数列 xn 满足:x1 > 0,xne xn+1 = e xn- 1n=1,2,⋯ .证明 xn 收敛, 并求 limn→∞ xn. a.a.b.c) 已知极限相关. 大观严选题 —— 澄潇宇 第 78 页，共 767 页
79	82	i. i. ii. iii. ii. i)1998 数二	a.a.b.c) 已知极限相关 (1.1.2.3.1 已知极限 (存在) 确定参数 i. i. ii. iii. ii. i)1998 数二 确定常数 a,b,c 的值, 使 limx→0 ax-sinx xb ln 1+t3    t dt = cc≠0 . 大观严选题 —— 澄潇宇
80	83	i. i. ii. iii. ii. ii)2001 数三;880 第二章综合填空 5	i. i. ii. iii. ii. ii)2001 数三;880 第二章综合填空 5 已知 f x 在 -∞,+∞ 内可导, 且 limx→∞ f  x = e,limx→∞ x+c x-c  
81	84	i. i. ii. iii. i.iii)2010 数三	i. i. ii. iii. i.iii)2010 数三 (1) 若 limx→0 1 x - 1 x -a  e  x 
82	85	i. i. ii. iii. ii. iv)2011 数二	i. i. ii. iii. ii. iv)2011 数二 已知函数 Fx = x0 ln  1+t2  dt x
83	86	i. i. ii.iii.i.v)2013 数一	i. i. ii.iii.i.v)2013 数一 (1) 已知极限 limx→0 x-arctanx x k = c，其中 c,k 为常数，且 c ≠ 0，则 ( ) A. k = 2,c =- 1
84	87	i. i. ii. iii. ii. vi)2018 数一	i. i. ii. iii. ii. vi)2018 数一 若 limx→0 1-tanx 1+tanx   1 sinkx = e, 则 k = _____. 大观严选题 —— 澄潇宇
85	88	i. i. ii. iii. ii. vii)2018 数三	i. i. ii. iii. ii. vii)2018 数三 已知实数 a,b 满足 limx→+∞ ax+b e 1 x -x 
86	89	i. i. ii. iii. ii. viii)2024 数一	i. i. ii. iii. ii. viii)2024 数一 11. limx→0 1+ax2   sinx-1 x 3 = 6，则 a = _____. 大观严选题 —— 澄潇宇
87	90	i. i. ii. iii.ii.i.ix)2021 数三	i. i. ii. iii.ii.i.ix)2021 数三 已知 limx→0 aarctan 1 x +1+x  1  x  
88	91	i. i. ii.ii.ii.ii. i)2000 数二	(1.1.2.3.2) 已知一极限, 求另一极限 i. i. ii.ii.ii.ii. i)2000 数二 (4) 若 limx→0 sin6x+xf x  x 3 = 0，则 limx→0 6+ f x  x
89	92	i. i. ii.iii.ii.ii.)2016 数三	i. i. ii.iii.ii.ii.)2016 数三 已知函数 f x 满足 limx→0 1+ f x sin2x-1 e 3x-1 = 2, 则 limx→0 f x = _____. 大观严选题 —— 澄潇宇 第 89 页，共 767 页
90	93	i. i. ii. iii. ii. iii. iii)2020 数三	i. i. ii. iii. ii. iii. iii)2020 数三 (1) 设 limx→a f x -a x-a = b，则 limx→a sinf x -sina x-a = ( ). A. bsina B. bcosa C. bsinf a  D. bcosf a 
91	94	i. i. ii. iii. iii. i)2022 数一	(1.1.2.3.3) 已知极限推其他 i. i. ii. iii. iii. i)2022 数一 (1) 已知 f x 满足 limx→1 f x  lnx = 1, 则 ( ) A. f 1 = 0. B. limx→1
92	95	(1.1.2.4.1)2015 数二	a.a.b.d) 以极限形式给出的函数 (1.1.2.4.1)2015 数二 (2) 函数 f x = limt→0 1+ sint x  
93	96	(1.1.2.4.2)2024 数三	(1.1.2.4.2)2024 数三 设函数 f x = limn→∞ 1+x 1+nx2n , 则 f x  A. 在 x = 1,x =-1 处都连续. B. 在 x = 1 处连续, 在 x =-1 处不连续. C. 在 x = 1,x =-1 处都不连续. D. 在 x = 1 处不连续, 在 x =-1 处连续. 大观严选题 —— 澄潇宇
94	97	(a.a.b.e.a.a.a)2013 数三	a.a.b.e) 无穷小阶数 (1.1.2.5.1 无穷小 i.i.ii.v.i.i) 无穷小概念题 (a.a.b.e.a.a.a)2013 数三 (1) 当 x → 0 时, 用“ox ”表示比 x 高阶的无穷小量, 则下列式子中错误的是 ( ) A. x ⋅ o x 2
95	98	(a.a.b.e.a.a.b)2022 数二三	(a.a.b.e.a.a.b)2022 数二三 (1) 若当 x → 0 时， αx ， βx 是非零无穷小量，则以下的命题中 ①若 αx ∼ βx , 则 α 2 x ∼ β 2
96	99	(a.a.b.e.a.a.c)2025 数二	(a.a.b.e.a.a.c)2025 数二 4.设函数 f x ,gx 在 x = 0 某去心邻域内有定义且恒不为 0, 若 x → 0 时, f x 是 gx 的高阶无穷小， 则当 x → 0 时 ( ) A. f x + gx = ogx  . B. f x gx = o f 2  x  . C. f x = o e gx   -1 . D. f x = o g
97	100	(a.a.b.e.a.b.a)2013 数二	i.i. ii.v.i.ii) 无穷小比阶 (a.a.b.e.a.b.a)2013 数二 (1) 设 cosx - 1 = xsinαx ，其中 αx  < π 2 ，则当 x → 0 时， αx 是 ( ) A. 比 x 高阶的无穷小量. B. 比 x 低阶的无穷小量. C. 与 x 同阶但不等价的无穷小量. D. 与 x 等价的无穷小量. 大观严选题 —— 澄潇宇
98	101	(a.a.b.e.a.b.b)2016 数二	(a.a.b.e.a.b.b)2016 数二 (1) 设 α1 = xcos x-1 ,α2 = x ln 1+ 3  x ,α3 = 3 x+1 - 1.当 x → 0+时, 以上 3 个无穷小量按照从低 阶到高阶的排序是 ( ) A. α1 ,α2
99	102	(a.a.b.e.a.b.c)2020 数一二	(a.a.b.e.a.b.c)2020 数一二 1.当 x → 0+时，下列无穷小中最高阶的是 ( ) A. x0 e t2   -1 dt. B.
100	103	i. i. ii.v. i.iii.i.i)2006 数二	i.i.ii.v.i.iii) 确定参数或阶数 (a.a.b.e.a.c.a) 已知高阶 i. i. ii.v. i.iii.i.i)2006 数二 试确定 A,B,C 的值, 使得 e x 1+Bx+Cx2  = 1 + Ax + o x 3
101	104	i.i. ii.v.i.iii.i.ii)2014 数二	i.i. ii.v.i.iii.i.ii)2014 数二 (1) 当 x → 0+时, 若 lnα 1+2x ,1-cosx  1α 均是比 x 高阶的无穷小量, 则 α 的取值范围是 ( ) A. 2,+∞ . B. 1,2 . C. 1 2
102	105	i. i. ii.v. i.iii.ii.i)1996 数一	(a.a.b.e.a.c.b) 已知同阶 i. i. ii.v. i.iii.ii.i)1996 数一 (4) 设 f x 有连续导数， f 0 = 0， f  0 ≠ 0， Fx = x0 x 2-t2   
103	106	i.i. ii.v.i.iii.ii.ii)2019 数一二三	i.i. ii.v.i.iii.ii.ii)2019 数一二三 (1) 当 x → 0 时, 若 x - tanx 与 x k 是同阶无穷小, 则 k = ( ) A. 1. B. 2. C. 3. D. 4. 大观严选题 —— 澄潇宇 第 103 页，共 767 页
104	107	i.i. ii.v.i.iii.ii.iii.2024 数三	i.i. ii.v.i.iii.ii.iii.2024 数三 当 x → 0 时, x0 1+t2  sint2 1+cos2 t  dt 与 x k 是同阶无穷小, 则 k = _____. 大观严选题 —— 澄潇宇
105	108	i. i. ii.v. i.iii.iii.i)2013 数二三	(a.a.b.e.a.c.c) 已知等价 i. i. ii.v. i.iii.iii.i)2013 数二三 当 x → 0 时, 1 - cosx ⋅ cos2x ⋅ cos3x 与 axn为等价无穷小量, 求 n 与 a 的值. 大观严选题 —— 澄潇宇 第 105 页，共 767 页
106	109	i. i. ii.v.i.iii.iii.ii)2015 数一二三	i. i. ii.v.i.iii.iii.ii)2015 数一二三 设函数 f x = x + aln1+x + bxsinx,gx = kx3 .若 f x 与 gx 在 x → 0 时是等价无穷小,求 a,b,k 的 值. 大观严选题 —— 澄潇宇 第 106 页，共 767 页
107	110	i.i.ii.v. i.iii.iii.iii)2020 数三	i.i.ii.v. i.iii.iii.iii)2020 数三 已知 a,b 为常数，若 1+ 1 n  n- e 与 b
108	111	i. i. ii. v. i.iii.iii.iv)2023 数一二	i. i. ii. v. i.iii.iii.iv)2023 数一二 当 x → 0 时, 函数 f x = ax + bx2+ ln1+x 与 gx = e x 2- cosx 是等价无穷小, 则 ab = ____. 大观严选题 —— 澄潇宇 第 108 页，共 767 页
109	112	i. i.ii.v.i.iii.iii.v)2026 数二	i. i.ii.v.i.iii.iii.v)2026 数二 已知当 x → 0 时, ax2+ bx + arcsinx 与 3 1+x 2 - 1 是等价无穷小, 则 ( ) A. a = 1 3
110	113	(a.a.b.e.b.a.a)1993 数二;880 第一章基础选择 5	(1.1.2.5.2) 无穷大 i.i.ii.v.ii.i) 无界与无穷大 (a.a.b.e.b.a.a)1993 数二;880 第一章基础选择 5 【5】当 x → 0 时, 1 x 2
111	114	(a.a.b.e.b.b.a)2010 数三	i. i. ii.v.ii.ii) 无穷大比阶 (a.a.b.e.b.b.a)2010 数三 (4) 设 f x = ln10x,gx = x,hx = e x10 ，则当 x 充分大时有 ( ) A. gx < hx < f x . B. hx < gx < f x . C. f x < gx < hx . D. gx < f x < hx . 大观严选题 —— 澄潇宇 第 
112	115	(1.1.3.1.1)2018 数二	1.1.3.连续 a.a.c.a) 已知连续确定参数 (1.1.3.1.1)2018 数二 (3) 设函数 f x = -1, x<0 1, x≥0
113	116	(1.1.3.1.2)2017 数一二三	(1.1.3.1.2)2017 数一二三 (1) 若函数 f x = 1-cos x ax , x>0, b, x≤0 
114	117	(1.1.3.2.1)2010 数二	a.a.c.b) 间断点 (1.1.3.2.1)2010 数二 (1) 函数 f x = x 2-x x
115	118	(1.1.3.2.2)2013 数三;26 版 1000 第一章基础 21	(1.1.3.2.2)2013 数三;26 版 1000 第一章基础 21 (2) 函数 f x = xx-1 xx+1 lnx 的可去间断点的个数为 ( ) A. 0. B. 1. C. 2. D. 3. 大观严选题 —— 澄潇宇 第 115 页，共 767 页
116	119	(1.1.3.2.3)2020 数二三	(1.1.3.2.3)2020 数二三 2.函数 f x = e 1 x-1 ln1+x
117	120	(1.1.3.2.4)2024 数二	(1.1.3.2.4)2024 数二 1.函数 f x = x 1 1-x x-2 的第一类间断点的个数为 ( ) A. 3 B. 2 C. 1 D. 0 大观严选题 —— 澄潇宇
118	121	(1.2.1.1.1)1993 数二;880 第二章基础选择 9	二、一元微分 1.2.1.导数概念 a.b.a.a) 基本概念题 (1.2.1.1.1)1993 数二;880 第二章基础选择 9 (5) 若 f x =-f -x , 在 0,+∞ 内 f  x > 0,f  x > 0, 则 f x 在 -∞,0 内 ( )
119	122	(1.2.1.1.2)2015 数一三	(1.2.1.1.2)2015 数一三 (I) 设函数 ux ,vx 可导, 利用导数定义证明 ux vx   = u  x vx + ux v  x ; (II) 设函数 u1
120	123	(1.2.1.2.1)1988 数一二;880 第二章基础选择 8	a.b.a.b) 微分概念 (1.2.1.2.1)1988 数一二;880 第二章基础选择 8 (3) 若函数 y = f x ，有 f  x 0 = 1 2 ，则当 Δx → 0 时，该函数在 x = x0处的微分 dy 是 ( ) A. 与 Δx 等价的无穷小. B. 与 Δx 同阶的无穷小. C. 比 Δx 低阶的无穷小. D. 比 Δx 高阶的无穷小. 大观严选题 —— 澄潇宇
121	124	(1.2.1.2.2)2006 数一二三	(1.2.1.2.2)2006 数一二三 (7) 设函数 y = f x 具有二阶导数，且 f  x > 0,f  x > 0,Δx 为自变量 x 在 x0处的增量， Δy 与 dy 分别为 f x 在点 x0处对应的增量与微分, 若 Δx > 0, 则 ( ) A. 0 < dy < Δy. B. 0 < Δy < dy. C. Δy < dy < 0. D. dy < Δy < 0. 大观严选题 —— 澄潇宇 第
122	125	i. ii. i. iii.i. i)2022 数二	a.b.a.c) 极限与导数 (1.2.1.3.1 已知极限求导数 i. ii. i. iii.i. i)2022 数二 已知函数 f x 在 x = 1 处可导且 limx→0 f e x 2  -3f 1+sin2
123	126	i. ii. i. iii. i. ii)2025 数二	i. ii. i. iii. i. ii)2025 数二 18.(本题满分 12 分) 设函数 f x 在 x = 0 处连续, 且 limx→0 xf x -e 2sinx+1 ln1+x +ln1-x  =-3.证明:f x 在 x = 0 处可导, 并求 f  0 . 大观严选题 —— 澄潇宇 第 123 页，共 767 页
